,Name,Coefficients
101,店舗、その他,-4.101226145787234
103,駐車場、店舗,-3.1460265882941143
98,倉庫、駐車場,-1.5529980618387902
99,工場,-1.0925400907195897
84,事務所、倉庫,-0.8384741509753612
96,倉庫,-0.7857620118371491
102,駐車場,-0.5691093854622244
123,都市計画区域外,-0.5570943853886778
68,８ＬＤＫ,-0.4776678273161345
129,瑕疵有りの可能性,-0.45730401206205057
131,調停・競売等、瑕疵有りの可能性,-0.4493933961373691
128,他の権利・負担付き、調停・競売等,-0.44757201101983857
67,７ＬＤＫ＋Ｓ,-0.4346233232311405
133,関係者間取引、瑕疵有りの可能性,-0.3630830874935356
86,事務所、駐車場,-0.3418016481860268
69,８ＬＤＫ＋Ｓ,-0.3410586696189206
64,６ＬＤＫ＋Ｓ,-0.3270817896373518
82,その他,-0.3246617026813698
66,７ＬＤＫ,-0.3104215673896253
97,倉庫、店舗,-0.30778795090329825
40,３Ｋ,-0.26578627142779465
112,市街化調整区域,-0.26456785465799637
70,ブロック造,-0.26393000535328015
92,住宅、店舗,-0.2540634149633595
51,４Ｋ,-0.25156132890150174
15,１Ｌ,-0.24039976889128045
11,１ＤＫ＋Ｋ,-0.232020523893727
57,５ＤＫ,-0.21715264760238642
83,事務所,-0.21694692125104703
49,４ＤＫ,-0.21514868882443686
63,６ＬＤＫ,-0.2082963889103414
50,４ＤＫ＋Ｓ,-0.20681449396091328
41,３Ｋ＋Ｓ,-0.2033285380853291
130,調停・競売等,-0.2015188746299068
126,その他事情有り,-0.19400871929290286
21,１Ｒ,-0.1897995168738747
132,関係者間取引,-0.17863178701885069
111,市街化区域及び市街化調整区域外の都市計画区域,-0.15943301611911026
38,３ＤＫ,-0.15111051956251126
39,３ＤＫ＋Ｓ,-0.1464155748208219
85,事務所、店舗,-0.14075373856316153
55,４ＬＤＫ＋Ｋ,-0.13984644605171903
47,３ＬＫ,-0.13938368420185168
73,鉄骨造,-0.13173796715019168
62,６ＤＫ,-0.13033656189058676
127,他の権利・負担付き,-0.12836772023388035
61,５ＬＤＫ＋Ｓ,-0.12529640309460274
53,４Ｌ＋Ｋ,-0.1197110440983581
100,店舗,-0.11898318408896841
108,商業地域,-0.11784832673332934
27,２Ｋ＋Ｓ,-0.11692032165819849
88,住宅、その他,-0.11343420824472415
20,１ＬＫ,-0.10866930563709362
79,ＳＲＣ、鉄骨造,-0.0993097355574443
42,３ＬＤ,-0.09556749797160809
71,木造,-0.08970192256218638
26,２Ｋ,-0.0782827950591309
134,関係者間取引、調停・競売等,-0.06878968782769151
7,オープンフロア,-0.0687580477550929
118,第１種住居地域,-0.06847595822203842
119,第２種中高層住居専用地域,-0.06428164524392438
116,第１種中高層住居専用地域,-0.059729134534842146
24,２ＤＫ,-0.05303607413745732
78,ＳＲＣ,-0.052247211504466845
80,ＳＲＣ、ＲＣ,-0.0504192689393312
59,５ＬＤＫ,-0.04390856434607112
58,５Ｋ,-0.03652507554421213
13,１Ｋ,-0.0351462896482163
113,準住居地域,-0.031732245256020794
12,１ＤＫ＋Ｓ,-0.029081143117791516
37,３Ｄ,-0.028109985302615374
10,１ＤＫ,-0.025927820619570316
25,２ＤＫ＋Ｓ,-0.023405088315160014
105,事務所,-0.022133082707645857
94,住宅、駐車場,-0.020281231718592252
124,改装済,-0.017743042156547373
125,未改装,-0.016547532196935777
87,住宅,-0.012782554947103841
122,近隣商業地域,-0.00696730388384658
1,nearest_station_distance,-0.005882014509509319
0,prefectures_name,-0.005785785217025273
3,building_coverage_ratio,-0.0027158611810512703
121,第２種住居地域,-0.002242570773914626
6,trading_elapsed_date,-4.315196814874689e-06
65,７ＤＫ,-5.551115123125783e-16
95,作業場,4.440892098500626e-16
91,住宅、倉庫,4.440892098500626e-16
5,construction_age,3.2542302317604965e-05
4,floor_area_ratio,0.0009463210428478197
109,工業地域,0.002985959795071741
81,ＳＲＣ、ＲＣ、鉄骨造,0.003818108509909863
2,room_area,0.005452881079338996
107,店舗,0.011322957344571352
104,その他,0.01337282471449125
56,４ＬＤＫ＋Ｓ,0.014073613099552653
48,４Ｄ,0.014817692556487695
89,住宅、事務所,0.01593584688757716
114,準工業地域,0.02024199246793615
35,２ＬＫ,0.028626575745729424
14,１Ｋ＋Ｓ,0.04797500351689654
106,住宅,0.049995759560619746
74,ＲＣ,0.05682399236608901
33,２ＬＤＫ＋Ｋ,0.0600367575009916
93,住宅、店舗、その他,0.06372862002754692
28,２Ｌ,0.07174238055120877
54,４ＬＤＫ,0.0730468281071554
117,第１種低層住居専用地域,0.07544685349248394
44,３ＬＤＫ,0.08957410998279226
36,２ＬＫ＋Ｓ,0.08959886968636455
22,１Ｒ＋Ｓ,0.1008928964931266
31,２ＬＤ＋Ｓ,0.1021496183602418
46,３ＬＤＫ＋Ｓ,0.10322360862739807
32,２ＬＤＫ,0.10661798182425779
120,第２種低層住居専用地域,0.11038643162817693
75,ＲＣ、ブロック造,0.11180142451042424
77,ＲＣ、鉄骨造,0.11625266505647397
43,３ＬＤ＋Ｓ,0.12228383230162324
110,工業専用地域,0.12565476226401331
34,２ＬＤＫ＋Ｓ,0.12770410331087498
72,軽量鉄骨造,0.1413187852254367
18,１ＬＤＫ,0.1493937862775192
9,メゾネット,0.15003511608801584
45,３ＬＤＫ＋Ｋ,0.16498346965496655
29,２Ｌ＋Ｓ,0.17646909152615864
19,１ＬＤＫ＋Ｓ,0.18023663516230273
115,準都市計画区域,0.19538799566217535
17,１ＬＤ＋Ｓ,0.210345840209902
8,スタジオ,0.22762230620833246
60,５ＬＤＫ＋Ｋ,0.2426181835709594
90,住宅、事務所、駐車場、店舗,0.24937685842148852
23,２Ｄ,0.2843424087519819
52,４Ｌ,0.3054791452610824
76,ＲＣ、木造,0.36201471993572776
16,１Ｌ＋Ｓ,0.3854941337402754
30,２ＬＤ,0.432165987611148
